name,price_raw,price_numeric,currency,image_url,product_url,page_number,source,source_url
Sharp Objects,Â£47.82,47.82,GBP,../../../../media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,1,books_mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
"In a Dark, Dark ...",Â£19.63,19.63,GBP,../../../../media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,1,books_mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
The Past Never Ends,Â£56.50,56.5,GBP,../../../../media/cache/89/b8/89b850edb01851a91f64ba114b96acb6.jpg,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,1,books_mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
A Murder in Time,Â£16.64,16.64,GBP,../../../../media/cache/11/aa/11aaad48b5f15e262456ca65294084da.jpg,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html,1,books_mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
The Murder of Roger ...,Â£44.10,44.1,GBP,../../../../media/cache/29/fe/29fe70b1b2e5a9ba61d4bd331255e19e.jpg,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,1,books_mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
The Last Mile (Amos ...,Â£54.21,54.21,GBP,../../../../media/cache/37/f1/37f118b4a56d866e1e8b563759d6966c.jpg,https://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html,1,books_mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
That Darkness (Gardiner and ...,Â£13.92,13.92,GBP,../../../../media/cache/44/9e/449ed681142bc336646abee754e96639.jpg,https://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html,1,books_mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
Tastes Like Fear (DI ...,Â£10.69,10.69,GBP,../../../../media/cache/3c/91/3c91d97266bd6dda322089695fb46daf.jpg,https://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html,1,books_mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
A Time of Torment ...,Â£48.35,48.35,GBP,../../../../media/cache/e8/c0/e8c0ba15066bab950ae161fd60949b9a.jpg,https://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html,1,books_mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
A Study in Scarlet ...,Â£16.73,16.73,GBP,../../../../media/cache/8f/a4/8fa41d6caa10e427356b8a590eb4d96b.jpg,https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html,1,books_mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
Poisonous (Max Revere Novels ...,Â£26.80,26.8,GBP,../../../../media/cache/23/52/2352718971d5e166fa9541a5a7d716fa.jpg,https://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html,1,books_mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
Murder at the 42nd ...,Â£54.36,54.36,GBP,../../../../media/cache/c3/8d/c38d65cd155b67ca025f0655bd1bb095.jpg,https://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html,1,books_mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
Most Wanted,Â£35.28,35.28,GBP,../../../../media/cache/8b/bc/8bbc5ab4c3784b4d9b93eb0fd1fb6fd6.jpg,https://books.toscrape.com/catalogue/most-wanted_623/index.html,1,books_mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
Hide Away (Eve Duncan ...,Â£11.84,11.84,GBP,../../../../media/cache/57/07/5707c3d5d4fd44d943d51730ba7d429a.jpg,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html,1,books_mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
Boar Island (Anna Pigeon ...,Â£59.48,59.48,GBP,../../../../media/cache/d5/81/d58157866ea8f015a8e4c55b23b8c96f.jpg,https://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html,1,books_mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
The Widow,Â£27.26,27.26,GBP,../../../../media/cache/fd/71/fd71fb07247bf911505a351c0670c6dc.jpg,https://books.toscrape.com/catalogue/the-widow_609/index.html,1,books_mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
Playing with Fire,Â£13.71,13.71,GBP,../../../../media/cache/90/0b/900bd2e60d56b6480a4e8eb2dddb46d6.jpg,https://books.toscrape.com/catalogue/playing-with-fire_602/index.html,1,books_mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
What Happened on Beale ...,Â£25.37,25.37,GBP,../../../../media/cache/c7/ab/c7abb5e32bd37118a87523dcee0a70a6.jpg,https://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html,1,books_mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
The Bachelor Girl's Guide ...,Â£52.30,52.3,GBP,../../../../media/cache/95/d7/95d7541679fcbd579b8a4f2b47231aaf.jpg,https://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html,1,books_mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
