name,price_raw,price_numeric,currency,image_url,product_url,page_number,source,source_url
A Light in the ...,Â£51.77,51.77,GBP,../media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,1,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Tipping the Velvet,Â£53.74,53.74,GBP,../media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,1,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Soumission,Â£50.10,50.1,GBP,../media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg,https://books.toscrape.com/catalogue/soumission_998/index.html,1,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Sharp Objects,Â£47.82,47.82,GBP,../media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,1,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Sapiens: A Brief History ...,Â£54.23,54.23,GBP,../media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,1,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
The Requiem Red,Â£22.65,22.65,GBP,../media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,1,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
The Dirty Little Secrets ...,Â£33.34,33.34,GBP,../media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,1,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
The Coming Woman: A ...,Â£17.93,17.93,GBP,../media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,1,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
The Boys in the ...,Â£22.60,22.6,GBP,../media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,1,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
The Black Maria,Â£52.15,52.15,GBP,../media/cache/58/46/5846057e28022268153beff6d352b06c.jpg,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,1,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Starving Hearts (Triangular Trade ...,Â£13.99,13.99,GBP,../media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,1,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Shakespeare's Sonnets,Â£20.66,20.66,GBP,../media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,1,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Set Me Free,Â£17.46,17.46,GBP,../media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg,https://books.toscrape.com/catalogue/set-me-free_988/index.html,1,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Scott Pilgrim's Precious Little ...,Â£52.29,52.29,GBP,../media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,1,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Rip it Up and ...,Â£35.02,35.02,GBP,../media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,1,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Our Band Could Be ...,Â£57.25,57.25,GBP,../media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,1,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Olio,Â£23.88,23.88,GBP,../media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg,https://books.toscrape.com/catalogue/olio_984/index.html,1,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Mesaerion: The Best Science ...,Â£37.59,37.59,GBP,../media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,1,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Libertarianism for Beginners,Â£51.33,51.33,GBP,../media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,1,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
It's Only the Himalayas,Â£45.17,45.17,GBP,../media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,1,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
In Her Wake,Â£12.84,12.84,GBP,../media/cache/5d/72/5d72709c6a7a9584a4d1cf07648bfce1.jpg,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,2,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
How Music Works,Â£37.32,37.32,GBP,../media/cache/5c/c8/5cc8e107246cb478960d4f0aba1e1c8e.jpg,https://books.toscrape.com/catalogue/how-music-works_979/index.html,2,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Foolproof Preserving: A Guide ...,Â£30.52,30.52,GBP,../media/cache/9f/59/9f59f01fa916a7bb8f0b28a4012179a4.jpg,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,2,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Chase Me (Paris Nights ...,Â£25.27,25.27,GBP,../media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,2,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Black Dust,Â£34.53,34.53,GBP,../media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg,https://books.toscrape.com/catalogue/black-dust_976/index.html,2,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Birdsong: A Story in ...,Â£54.64,54.64,GBP,../media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,2,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
America's Cradle of Quarterbacks: ...,Â£22.50,22.5,GBP,../media/cache/ef/0b/ef0bed08de4e083dba5e20fdb98d9c36.jpg,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,2,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Aladdin and His Wonderful ...,Â£53.13,53.13,GBP,../media/cache/d6/da/d6da0371958068bbaf39ea9c174275cd.jpg,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,2,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Worlds Elsewhere: Journeys Around ...,Â£40.30,40.3,GBP,../media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,2,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Wall and Piece,Â£44.18,44.18,GBP,../media/cache/a5/41/a5416b9646aaa7287baa287ec2590270.jpg,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,2,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
The Four Agreements: A ...,Â£17.66,17.66,GBP,../media/cache/0f/7e/0f7ee69495c0df1d35723f012624a9f8.jpg,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,2,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
The Five Love Languages: ...,Â£31.05,31.05,GBP,../media/cache/38/c5/38c56fba316c07305643a8065269594e.jpg,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,2,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
The Elephant Tree,Â£23.82,23.82,GBP,../media/cache/5d/7e/5d7ecde8e81513eba8a64c9fe000744b.jpg,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,2,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
The Bear and the ...,Â£36.89,36.89,GBP,../media/cache/cf/bb/cfbb5e62715c6d888fd07794c9bab5d6.jpg,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,2,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Sophie's World,Â£15.94,15.94,GBP,../media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg,https://books.toscrape.com/catalogue/sophies-world_966/index.html,2,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Penny Maybe,Â£33.29,33.29,GBP,../media/cache/12/53/1253c21c5ef3c6d075c5fa3f5fecee6a.jpg,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,2,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Maude (1883-1993):She Grew Up ...,Â£18.02,18.02,GBP,../media/cache/f5/88/f5889d038f5d8e949b494d147c2dcf54.jpg,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,2,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
"In a Dark, Dark ...",Â£19.63,19.63,GBP,../media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,2,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Behind Closed Doors,Â£52.22,52.22,GBP,../media/cache/e1/5c/e15c289ba58cea38519e1281e859f0c1.jpg,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,2,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
You can't bury them ...,Â£33.63,33.63,GBP,../media/cache/e9/20/e9203b733126c4a0832a1c7885dc27cf.jpg,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,2,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
