id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,roi_times,roi_currency,roi_percentage,source,source_url
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,70027.0,1401194537440,1,1401194537440,45860129285.0,71535.0,68934.0,-1036.8935127291334,-1.45911,-19709774157.061768,-1.38713,20003043.0,20003043.0,21000000.0,126080.0,-44.45858,2025-10-06T18:57:42.558Z,67.81,103170.30834,2013-07-06T00:00:00.000Z,2026-03-19T22:47:41.194Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2137.5,258081353335,2,258081353335,24238911120.0,2230.62,2104.6,-53.881269059704664,-2.45878,-6284367323.033203,-2.37715,120691801.1632979,120691801.1632979,,4946.05,-56.78361,2025-08-24T19:21:03.333Z,0.432979,493573.85217,2015-10-20T00:00:00.000Z,2026-03-19T22:47:40.859Z,39.80193802955836,btc,3980.193802955836,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,184119284205,3,189587030211,76986813713.0,1.0,0.999888,0.00015047,0.01505,28220947.0,0.01533,184092103149.706,189559041966.2262,,1.32,-24.40893,2018-07-24T00:00:00.000Z,0.572521,74.69086,2015-03-02T00:00:00.000Z,2026-03-19T22:47:49.916Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.45,88641385378,4,144627492790,2565743402.0,1.47,1.42,-0.015283503525719278,-1.04571,-826490748.294754,-0.92378,61280678111.0,99985698485.0,100000000000.0,3.65,-60.33696,2025-07-18T03:40:53.808Z,0.00268621,53740.40152,2014-05-22T00:00:00.000Z,2026-03-19T22:47:49.718Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,639.47,87210848971,5,87210848549,1068831719.0,655.84,633.79,-12.007830102108983,-1.84317,-1618092409.2171478,-1.82158,136357724.82,136357724.16,200000000.0,1369.99,-53.32304,2025-10-13T08:41:24.131Z,0.0398177,1605895.44489,2017-10-19T00:00:00.000Z,2026-03-19T22:47:41.486Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/USDC.png?1769615602,0.999961,79236400630,6,79239078353,10444654073.0,1.0,0.999812,-3.6605748975127e-05,-0.00366,-198401746.7684021,-0.24977,79241721014.62352,79244398916.98409,,1.043,-4.17066,2018-11-15T00:00:00.000Z,0.877647,13.93483,2023-03-11T08:02:13.981Z,2026-03-19T22:47:49.911Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,88.54,50608889931,7,50608889953,3076077292.0,91.16,87.28,-1.5435269332810009,-1.71339,-880977329.1674042,-1.71097,571567543.6424938,571567543.8878542,,293.31,-69.81285,2025-01-19T11:15:27.957Z,0.500801,17580.17277,2020-05-11T19:35:23.449Z,2026-03-19T22:47:49.816Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.303871,28790836245,8,28790915837,556457417.0,0.305067,0.299405,-6.9097951485575e-05,-0.02273,-8070841.237949371,-0.02802,94751085019.1791,94751346957.3568,,0.431288,-29.54346,2024-12-04T00:10:40.323Z,0.00180434,16741.09196,2017-11-12T00:00:00.000Z,2026-03-19T22:47:49.535Z,158.93201784962721,usd,15893.201784962721,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1.02,16153121554,9,16153121554,49970911.0,1.033,1.02,-0.002769599999999928,-0.27092,-43880273.68320656,-0.27092,15843541913.347,15843541913.347,,1.049,-1.55054,2026-03-09T17:00:25.937Z,0.155357,564.82634,2025-10-31T14:27:24.456Z,2026-03-19T22:47:49.951Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.093122,14294328627,10,14294444116,946542922.0,0.095826,0.091933,-0.002007227887456844,-2.11001,-299689387.39751434,-2.05351,153478026383.7052,153479266383.7052,,0.731578,-87.27114,2021-05-08T05:08:23.458Z,8.69e-05,107054.7867,2015-05-06T00:00:00.000Z,2026-03-19T22:47:49.734Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
